genotype,human_score_blue
PI534138,2.2538629752724
PI534139,2.085912072338902
PI534140,1.875626701035738
PI534141,2.9457787500105717
PI534142,3.619172003976091
PI534143,3.1705639940091386
PI534144,2.318271878939876
PI534146,1.7918832329255507
PI534147,3.249140100331921
PI534148,2.243928135839981
PI534149,1.6547818736462463
PI534150,2.4811010648380822
PI534151,1.9279401777801444
PI534152,1.7506070892467196
PI534153,2.555644056063598
PI534154,1.7766923840553794
PI534155,1.6704593613272043
PI534156,2.2037420754041386
PI534157,1.7205449393645107
PI534158,1.5933969298405668
PI534159,2.3665688229408084
PI534160,1.9295094138418911
PI534161,1.31649950423832
PI534162,2.178901490342777
PI534163,2.25155611530538
PI534164,2.653125540919967
PI534165,1.7582468253045649
PI534166,2.8458299084845184
PI534167,2.0032689326712445
PI540816,2.5528373333437564
PI542406,1.8134825226579596
PI542718,3.618700391442631
PI543243,2.181513394939686
PI543247,2.1025134801372314
PI544069,2.9656942402362723
PI548797,1.4192555868670909
PI552856,1.4915017039325789
PI552861,1.9507283335197467
PI554646,2.698952161884046
PI554648,1.958576598767381
PI554649,1.6889476048262493
PI554650,1.676934627586632
PI554654,2.027432888816966
PI555457,2.0622483911900185
PI561071,0.8206112574915637
PI561072,1.7766614482047078
PI561073,1.5993827404131369
PI561472,1.312415052238396
PI561926,1.6496521451421788
PI562623,1.507289079768604
PI564163,1.937563529515128
PI564164,2.053651719614061
PI564165,1.8560180662932375
PI565121,1.3725902936839585
PI574397,2.2147353225001662
PI574398,1.5674960832369096
PI574407,2.262214394937266
PI574455,2.230853865133921
PI576130,1.144005596778491
PI576328,2.1536420088168344
PI576329,2.2625704417764316
PI576330,2.8843607207312205
PI576331,3.272690915658829
PI576332,2.18335453949844
PI576333,1.1801120228962558
PI576334,2.6204584887229236
PI576335,2.9167209052392824
PI576336,2.131503328039321
PI576337,3.1770835533724027
PI576338,2.5690104526670554
PI576339,1.6160851498773945
PI576340,2.0388269186002277
PI576341,2.2565089499814204
PI576342,2.521835709279542
PI576343,2.5233854057555236
