genotype,dry,fresh,water_frac,peak_dose
PI534101,-0.0830105573532287,-0.1601447102341168,-0.0325096213376498,0.0
PI534105,-0.6326585425167555,-0.8015273843680701,-0.9475337058184315,0.0
PI534108,-0.4179972079984019,0.0253177869719867,1.1604798289644194,0.0
PI534112,1.4948889535350538,1.1362314241548157,-0.0613148959911924,0.0
PI534114,-0.1666145330373103,-0.4270880075188417,-0.8445807086296804,0.0
PI534115,0.1911218335235841,0.3818078498487264,0.6996151304766187,0.0
PI534116,-0.5884345326328461,-0.5972252078002177,0.103473779572428,0.0
PI534117,-0.8510817674338809,-0.7506370755084019,0.2441773918031549,0.0
PI534123,0.1306734543808475,0.2246673247000812,0.6046493936334816,0.0
PI534124,-0.5889255213023984,-0.317022374918753,0.8245431106708936,0.0
PI534127,-0.4223609926532246,-0.4912091844255664,-0.255282235868766,0.0
PI534128,0.6457997183176116,0.9202725204655592,0.907426063411282,0.0
PI534132,0.5398320109242216,0.9814587810453884,1.2908674280798995,0.0
PI534133,1.0928178450662034,1.0773214288622557,0.5246273128154421,0.0
PI534135,1.925643959561107,2.5666369583083064,1.449491658524955,0.0
PI534137,-0.7332356617666964,-0.8319073843762474,-0.7357215983257442,0.0
PI534138,0.9242697808131436,1.114194888595455,0.6104031925906162,0.0
PI534139,-1.1032152994514255,-1.001961483575588,0.0695661355699663,0.0
PI534144,-0.1499268502071,-0.2706555843189454,-0.4403954876073842,0.0
PI534145,-0.8093167244654926,-0.8790174453353761,-0.5507404672886813,2.0
PI534148,0.0829027698979971,0.304520354962257,0.8101119782347705,0.0
PI534155,0.860135452136991,1.662096588938102,1.763589967531038,0.0
PI534157,2.302043071627332,2.1291915292776906,0.3862135723960584,0.0
PI534163,-0.0775005906945156,0.3214492977155987,1.168433595085658,0.0
PI534167,-0.6125850920658062,-0.761145888403526,-0.7996259407993952,0.0
PI540816,1.106629951114631,0.7769676998561547,-0.0974836347622936,0.0
PI542406,-0.7416092610293916,-0.7048370146442873,-0.0552104590026225,0.0
PI542718,-0.2949755564251474,-0.1960780254834493,0.2948671469254846,2.0
PI548797,-0.0754272608605042,-0.2641243361912257,-0.4413151406602511,0.0
PI552856,-0.0080066466596666,0.1275509884712388,0.4020082425130498,0.0
PI552861,0.4278799469351938,0.492229331440344,0.5576183001505876,0.0
PI561071,1.0898839675264027,1.1707187038056142,0.7051919849882557,0.0
PI561072,0.1704528789959293,0.5577879912542707,1.3578978084761868,0.0
PI561073,-0.0285740363418471,0.7333098417438926,1.4658080177534378,0.0
PI561472,-0.117855657679583,-0.1075723253904413,0.1521779878796366,0.0
PI564163,-0.2885073473230068,-0.3115857994069057,0.0675679417353632,0.0
PI564164,0.6513496513771977,0.6467365785433499,0.4493485424877163,0.0
PI564165,1.90332589018221,1.8650926490487627,0.6064117173330352,0.0
PI565121,-0.1602931522522536,-0.1685300965457438,0.0987946024809438,0.0
PI566819,-0.407055818983108,-0.065451972932007,1.2978335577654627,0.0
PI576130,-0.520054930004876,-0.6013696212571465,-0.6390617682538906,0.0
PI576332,0.0257487752154909,0.1513443077376914,0.6718751798179349,0.0
PI576333,-0.8357871494419509,-0.5689553062214772,0.9520041449224506,0.0
PI576339,-0.6426212202481578,-0.5935222312576192,0.0028090265930794,0.0
PI576340,-0.0790706405562712,0.1205694273407673,0.8375109915187134,0.0
PI576345,0.5113382575054559,1.0679464858749417,1.1175887229902757,0.0
PI576348,-0.962057550013342,-0.9368041477854628,-0.1038090020005642,0.0
PI576349,-1.0424427081093288,-0.9610835714774612,-0.2530196274766484,0.0
PI576350,-1.1429104838348372,-1.2235568748816883,-1.3180079393426969,0.0
