image_id,image_path,environment,plotNumber,genotype,estimated_leaf_area,log_estimated_leaf_area,sam3_n_crops,leaf_area_segmentation_method,leaf_area_status
10214_LeafPhotoA_2025-10-21 16_23_24.093,data/externalsourcerequired/aamu2025/block1/10214_LeafPhotoA_2025-10-21 16_23_24.093-05_00.jpg,Alabama2025,10214,PI597950,1691889,14.341356214159466,0,CV2,failed_cropping
10215_LeafPhotoA_2025-10-21 16_24_00.345,data/externalsourcerequired/aamu2025/block1/10215_LeafPhotoA_2025-10-21 16_24_00.345-05_00.jpg,Alabama2025,10215,PI534099,1540378,14.247538398816229,4,CV2,ok
10215_LeafPhotoA_2025-10-21 16_24_17.931,data/externalsourcerequired/aamu2025/block1/10215_LeafPhotoA_2025-10-21 16_24_17.931-05_00.jpg,Alabama2025,10215,PI534099,1266496,14.051764590108576,0,CV2,failed_cropping
10215_LeafPhotoA_2025-10-21 16_24_32.490,data/externalsourcerequired/aamu2025/block1/10215_LeafPhotoA_2025-10-21 16_24_32.490-05_00.jpg,Alabama2025,10215,PI534099,1215665,14.010801810131913,4,CV2,ok
10216_LeafPhotoA_2025-10-21 16_25_06.061,data/externalsourcerequired/aamu2025/block1/10216_LeafPhotoA_2025-10-21 16_25_06.061-05_00.jpg,Alabama2025,10216,PI656098,1433951,14.175944129404472,0,CV2,failed_cropping
10216_LeafPhotoA_2025-10-21 16_25_18.593,data/externalsourcerequired/aamu2025/block1/10216_LeafPhotoA_2025-10-21 16_25_18.593-05_00.jpg,Alabama2025,10216,PI656098,1307984,14.083997578508562,3,CV2,ok
10216_LeafPhotoA_2025-10-21 16_25_30.452,data/externalsourcerequired/aamu2025/block1/10216_LeafPhotoA_2025-10-21 16_25_30.452-05_00.jpg,Alabama2025,10216,PI656098,1452438,14.188754081771354,4,CV2,ok
10217_LeafPhotoA_2025-10-21 16_27_06.490,data/externalsourcerequired/aamu2025/block1/10217_LeafPhotoA_2025-10-21 16_27_06.490-05_00.jpg,Alabama2025,10217,PI655999,542055,13.2031227512882,0,SAM3,failed_segmentation
10217_LeafPhotoA_2025-10-21 16_27_19.780,data/externalsourcerequired/aamu2025/block1/10217_LeafPhotoA_2025-10-21 16_27_19.780-05_00.jpg,Alabama2025,10217,PI655999,571933,13.256777130634212,0,SAM3,failed_segmentation
10217_LeafPhotoA_2025-10-21 16_27_33.187,data/externalsourcerequired/aamu2025/block1/10217_LeafPhotoA_2025-10-21 16_27_33.187-05_00.jpg,Alabama2025,10217,PI655999,0,,0,SAM3,failed_segmentation
