image_path,image_id,plotNumber,environment,ExG_P20_disease_pct
1044_LeafPhotoA_2025-09-08 10_23_47.531-05_00_leaf.png,1044_LeafPhotoA_2025-09-08 10_23_47.531-05_00,1044,Nebraska2025,1.53
1045_LeafPhotoA_2025-09-08 10_24_13.087-05_00_leaf.png,1045_LeafPhotoA_2025-09-08 10_24_13.087-05_00,1045,Nebraska2025,0.04
1045_LeafPhotoA_2025-09-08 10_24_25.395-05_00_leaf.png,1045_LeafPhotoA_2025-09-08 10_24_25.395-05_00,1045,Nebraska2025,0.0
1045_LeafPhotoA_2025-09-08 10_24_39.722-05_00_leaf.png,1045_LeafPhotoA_2025-09-08 10_24_39.722-05_00,1045,Nebraska2025,0.0
1047_LeafPhotoA_2025-09-08 10_26_20.486-05_00_leaf.png,1047_LeafPhotoA_2025-09-08 10_26_20.486-05_00,1047,Nebraska2025,0.24
1047_LeafPhotoA_2025-09-08 10_26_48.305-05_00_leaf.png,1047_LeafPhotoA_2025-09-08 10_26_48.305-05_00,1047,Nebraska2025,0.27
1047_LeafPhotoA_2025-09-08 10_27_02.535-05_00_leaf.png,1047_LeafPhotoA_2025-09-08 10_27_02.535-05_00,1047,Nebraska2025,0.06
1048_LeafPhotoA_2025-09-08 10_27_26.311-05_00_leaf.png,1048_LeafPhotoA_2025-09-08 10_27_26.311-05_00,1048,Nebraska2025,0.1
1048_LeafPhotoA_2025-09-08 10_27_42.531-05_00_leaf.png,1048_LeafPhotoA_2025-09-08 10_27_42.531-05_00,1048,Nebraska2025,0.02
1048_LeafPhotoA_2025-09-08 10_27_55.320-05_00_leaf.png,1048_LeafPhotoA_2025-09-08 10_27_55.320-05_00,1048,Nebraska2025,0.03
1049_LeafPhotoA_2025-09-08 10_28_20.044-05_00_leaf.png,1049_LeafPhotoA_2025-09-08 10_28_20.044-05_00,1049,Nebraska2025,0.01
1049_LeafPhotoA_2025-09-08 10_28_40.680-05_00_leaf.png,1049_LeafPhotoA_2025-09-08 10_28_40.680-05_00,1049,Nebraska2025,0.01
1049_LeafPhotoA_2025-09-08 10_28_53.505-05_00_leaf.png,1049_LeafPhotoA_2025-09-08 10_28_53.505-05_00,1049,Nebraska2025,0.0
1050_LeafPhotoA_2025-09-08 10_29_26.585-05_00_leaf.png,1050_LeafPhotoA_2025-09-08 10_29_26.585-05_00,1050,Nebraska2025,0.13
1050_LeafPhotoA_2025-09-08 10_29_43.243-05_00_leaf.png,1050_LeafPhotoA_2025-09-08 10_29_43.243-05_00,1050,Nebraska2025,0.07
1050_LeafPhotoA_2025-09-08 10_29_56.473-05_00_leaf.png,1050_LeafPhotoA_2025-09-08 10_29_56.473-05_00,1050,Nebraska2025,0.53
1051_LeafPhotoA_2025-09-08 12_41_41.689-05_00_leaf.png,1051_LeafPhotoA_2025-09-08 12_41_41.689-05_00,1051,Nebraska2025,4.96
1051_LeafPhotoA_2025-09-08 12_41_54.794-05_00_leaf.png,1051_LeafPhotoA_2025-09-08 12_41_54.794-05_00,1051,Nebraska2025,1.72
1051_LeafPhotoA_2025-09-08 12_42_13.116-05_00_leaf.png,1051_LeafPhotoA_2025-09-08 12_42_13.116-05_00,1051,Nebraska2025,1.0
1052_LeafPhotoA_2025-09-08 12_42_45.391-05_00_leaf.png,1052_LeafPhotoA_2025-09-08 12_42_45.391-05_00,1052,Nebraska2025,1.12
1052_LeafPhotoA_2025-09-08 12_42_57.295-05_00_leaf.png,1052_LeafPhotoA_2025-09-08 12_42_57.295-05_00,1052,Nebraska2025,2.48
1052_LeafPhotoA_2025-09-08 12_43_10.542-05_00_leaf.png,1052_LeafPhotoA_2025-09-08 12_43_10.542-05_00,1052,Nebraska2025,0.28
1053_LeafPhotoA_2025-09-08 12_43_28.443-05_00_leaf.png,1053_LeafPhotoA_2025-09-08 12_43_28.443-05_00,1053,Nebraska2025,2.45
1053_LeafPhotoA_2025-09-08 12_43_49.634-05_00_leaf.png,1053_LeafPhotoA_2025-09-08 12_43_49.634-05_00,1053,Nebraska2025,3.25
1053_LeafPhotoA_2025-09-08 12_44_09.725-05_00_leaf.png,1053_LeafPhotoA_2025-09-08 12_44_09.725-05_00,1053,Nebraska2025,4.49
1054_LeafPhotoA_2025-09-08 12_44_38.059-05_00_leaf.png,1054_LeafPhotoA_2025-09-08 12_44_38.059-05_00,1054,Nebraska2025,0.62
1054_LeafPhotoA_2025-09-08 12_44_49.928-05_00_leaf.png,1054_LeafPhotoA_2025-09-08 12_44_49.928-05_00,1054,Nebraska2025,0.07
1054_LeafPhotoA_2025-09-08 12_45_31.324-05_00_leaf.png,1054_LeafPhotoA_2025-09-08 12_45_31.324-05_00,1054,Nebraska2025,0.45
1055_LeafPhotoA_2025-09-08 12_45_58.943-05_00_leaf.png,1055_LeafPhotoA_2025-09-08 12_45_58.943-05_00,1055,Nebraska2025,2.88
1055_LeafPhotoA_2025-09-08 12_46_11.865-05_00_leaf.png,1055_LeafPhotoA_2025-09-08 12_46_11.865-05_00,1055,Nebraska2025,0.7
1055_LeafPhotoA_2025-09-08 12_46_26.025-05_00_leaf.png,1055_LeafPhotoA_2025-09-08 12_46_26.025-05_00,1055,Nebraska2025,0.5
1056_LeafPhotoA_2025-09-08 12_46_55.383-05_00_leaf.png,1056_LeafPhotoA_2025-09-08 12_46_55.383-05_00,1056,Nebraska2025,3.07
1056_LeafPhotoA_2025-09-08 12_47_08.950-05_00_leaf.png,1056_LeafPhotoA_2025-09-08 12_47_08.950-05_00,1056,Nebraska2025,0.76
1056_LeafPhotoA_2025-09-08 12_47_21.347-05_00_leaf.png,1056_LeafPhotoA_2025-09-08 12_47_21.347-05_00,1056,Nebraska2025,0.63
1056_LeafPhotoA_2025-09-08 12_47_34.787-05_00_leaf.png,1056_LeafPhotoA_2025-09-08 12_47_34.787-05_00,1056,Nebraska2025,0.44
1057_LeafPhotoA_2025-09-08 12_48_09.886-05_00_leaf.png,1057_LeafPhotoA_2025-09-08 12_48_09.886-05_00,1057,Nebraska2025,22.38
1057_LeafPhotoA_2025-09-08 12_48_37.892-05_00_leaf.png,1057_LeafPhotoA_2025-09-08 12_48_37.892-05_00,1057,Nebraska2025,29.15
