genotype,mask_pixels_blue,days_to_flower_blue
PI533841,3501944.4079872277,69.05443801084286
PI533842,3953109.235617936,70.08054143212206
PI533843,3096360.394762008,
PI533844,2805912.002864546,70.43130792159414
PI533845,3448455.2088518753,
PI533846,2889538.241320561,60.52716744051401
PI533847,2745825.226617414,59.41759630693309
PI533848,2837031.6032197187,61.02148607169553
PI533849,2670499.188618217,55.34078333363831
PI533850,4215958.940930441,66.2947260814601
PI533851,2700704.214721367,62.38237182025836
PI533852,3896004.058756952,
PI533853,3215532.3198856865,65.07023863875214
PI533854,2535056.183563211,65.99789443101558
PI533855,3831181.5344742406,58.214504286874266
PI533856,3468546.942991653,61.44494320675855
PI533857,4573520.638061595,66.3379808139774
PI533858,4329624.986552353,68.06682981746103
PI533859,3843587.4815996904,69.10519301706913
PI533860,4425686.53650674,61.378962998967225
PI533861,4529638.488551039,67.5647408042128
PI533862,2234983.4153304957,47.52453843953842
PI533863,3551220.6603388283,61.94047444120034
PI533864,2754861.4241864746,47.52453843953842
PI533865,3187473.0755641568,65.03774034224176
PI533866,3649124.1704353546,
PI533867,3415908.825905124,59.31351276330953
PI533869,3824511.3916008407,67.56675348796442
PI533870,4440935.468858792,49.28389331595668
PI533871,3162797.404786,59.46660873776548
PI533872,2825249.681832306,50.875554177676165
PI533873,4300345.150394924,58.74071491293597
PI533874,2726205.3573407205,58.365327713802834
PI533876,2642628.448266357,47.52453843953842
PI533877,3223413.571926672,64.08867888274713
PI533878,4847300.887880973,65.34199593689866
PI533879,3646714.5259051244,59.20026270007969
PI533880,2892025.843013201,61.3101039420184
PI533881,3382438.6703730575,55.041755465162986
PI533882,4839507.41113595,68.28048449466554
PI533883,2647339.7985335663,55.325405473080096
PI533884,3053839.553833656,57.844798456559616
PI533885,2540547.608486311,49.41532375940571
PI533886,2670315.926346534,
PI533888,2839483.4289872325,62.04489417809632
PI533889,2600480.2196439207,
PI533890,2781730.577802617,47.65465909053845
PI533891,3100368.2476822166,
PI533893,2614091.9735072562,61.67640095104196
PI533894,3045970.192571792,52.22813957203866
PI533895,3161333.770995571,53.77427315371351
PI533896,2034648.739100008,
PI533897,3445815.203300968,55.21101913608655
PI533898,2197042.045526632,48.41994518395711
PI533899,3484134.6175510357,52.98565528339063
PI533900,2993291.2466013804,54.8226029534191
PI533902,4374561.534217702,70.00497193737353
PI533903,3591150.910322578,57.59254134667516
PI533904,3801475.6271235156,66.70526143777145
PI533905,3915577.993941807,63.7867721651142
PI533906,3678101.626119482,69.52357508494376
PI533907,4694436.408011738,73.21216996619584
